Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  13.887.835 ,  13.530.166 ,  14.705.033 ,  14.354.092 ,  13.815.925 ,  13.752.267 ,  14.494.299 ,  14.681.743 ,  14.131.333 ,  14.633.904 ,  14.381.362 ,  13.773.602 ,  170.141.562 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.293.989 ,  1.193.865 ,  1.311.227 ,  1.110.103 ,  1.048.149 ,  1.000.829 ,  1.064.459 ,  1.035.203 ,  1.038.595 ,  1.055.637 ,  1.019.286 ,  1.040.528 ,  13.211.871 
Nordeste,  1.800.275 ,  1.644.819 ,  1.789.713 ,  1.839.949 ,  1.882.090 ,  1.855.248 ,  1.975.825 ,  1.955.744 ,  1.853.612 ,  1.954.218 ,  1.932.931 ,  1.920.702 ,  22.405.125 
Sudeste,  7.505.760 ,  7.364.373 ,  7.995.341 ,  7.812.472 ,  7.496.035 ,  7.476.361 ,  7.789.892 ,  7.914.508 ,  7.702.179 ,  7.933.623 ,  7.871.138 ,  7.420.487 ,  92.282.169 
Sul,  2.558.669 ,  2.635.613 ,  2.841.469 ,  2.812.492 ,  2.631.083 ,  2.643.086 ,  2.852.112 ,  2.899.814 ,  2.720.058 ,  2.839.450 ,  2.758.093 ,  2.593.429 ,  32.785.370 
Centro-Oeste,  729.142 ,  691.496 ,  767.282 ,  779.076 ,  758.568 ,  776.742 ,  812.012 ,  876.473 ,  816.889 ,  850.976 ,  799.915 ,  798.456 ,  9.457.026 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  11.570 ,  11.979 ,  12.989 ,  13.148 ,  11.922 ,  11.441 ,  12.303 ,  12.861 ,  13.112 ,  13.630 ,  13.539 ,  11.804 ,  150.297 
Norte,  1.344.698 ,  1.230.804 ,  1.364.773 ,  1.156.893 ,  1.096.360 ,  1.051.819 ,  1.131.934 ,  1.101.732 ,  1.098.062 ,  1.121.182 ,  1.086.984 ,  1.114.853 ,  13.900.095 
Nordeste,  1.702.904 ,  1.561.694 ,  1.684.687 ,  1.741.627 ,  1.785.572 ,  1.754.417 ,  1.855.435 ,  1.835.471 ,  1.743.031 ,  1.833.304 ,  1.812.388 ,  1.797.525 ,  21.108.056 
Sudeste/C.Oeste,  8.269.995 ,  8.090.075 ,  8.801.116 ,  8.629.932 ,  8.290.988 ,  8.291.503 ,  8.642.515 ,  8.831.864 ,  8.557.070 ,  8.826.338 ,  8.710.358 ,  8.255.991 ,  102.197.744 
Sul,  2.558.669 ,  2.635.613 ,  2.841.469 ,  2.812.492 ,  2.631.083 ,  2.643.086 ,  2.852.112 ,  2.899.814 ,  2.720.058 ,  2.839.450 ,  2.758.093 ,  2.593.429 ,  32.785.370 
,,,,,,,,,,,,,
,2017,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  13.158.375 ,  13.461.717 ,  13.901.219 ,  14.149.435 ,  13.630.310 ,  13.990.559 ,  14.031.309 ,  14.305.617 ,  14.281.379 ,  14.229.115 ,  14.376.675 ,  14.159.768 ,  167.675.480 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.267.995 ,  1.145.929 ,  1.277.627 ,  1.215.167 ,  1.296.350 ,  1.253.966 ,  1.319.608 ,  1.321.958 ,  1.251.426 ,  1.314.996 ,  1.266.066 ,  1.273.070 ,  15.204.158 
Nordeste,  1.869.558 ,  1.730.977 ,  1.945.472 ,  1.792.034 ,  1.808.275 ,  1.853.728 ,  1.943.316 ,  1.948.989 ,  1.840.166 ,  1.944.116 ,  1.888.903 ,  1.869.333 ,  22.434.867 
Sudeste,  6.924.323 ,  7.267.815 ,  7.183.812 ,  7.630.039 ,  7.100.244 ,  7.426.304 ,  7.296.435 ,  7.451.707 ,  7.616.037 ,  7.481.015 ,  7.737.430 ,  7.612.805 ,  88.727.968 
Sul,  2.378.484 ,  2.629.959 ,  2.741.178 ,  2.779.695 ,  2.662.653 ,  2.702.525 ,  2.692.241 ,  2.799.596 ,  2.782.942 ,  2.708.244 ,  2.722.377 ,  2.658.070 ,  32.257.964 
Centro-Oeste,  718.015 ,  687.038 ,  753.130 ,  732.500 ,  762.787 ,  754.035 ,  779.708 ,  783.367 ,  790.809 ,  780.744 ,  761.899 ,  746.490 ,  9.050.523 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  11.557 ,  10.436 ,  10.883 ,  11.009 ,  12.096 ,  11.473 ,  10.947 ,  12.763 ,  12.361 ,  13.525 ,  12.783 ,  11.678 ,  141.511 
Norte,  1.313.508 ,  1.179.956 ,  1.347.486 ,  1.261.436 ,  1.332.899 ,  1.290.480 ,  1.359.712 ,  1.375.644 ,  1.306.434 ,  1.358.705 ,  1.316.847 ,  1.338.283 ,  15.781.390 
Nordeste,  1.780.259 ,  1.652.715 ,  1.830.684 ,  1.702.898 ,  1.722.797 ,  1.769.840 ,  1.855.515 ,  1.844.110 ,  1.736.438 ,  1.847.872 ,  1.786.146 ,  1.754.490 ,  21.283.764 
Sudeste/C.Oeste,  7.674.567 ,  7.988.652 ,  7.970.988 ,  8.394.397 ,  7.899.864 ,  8.216.241 ,  8.112.893 ,  8.273.504 ,  8.443.205 ,  8.300.769 ,  8.538.522 ,  8.397.247 ,  98.210.851 
Sul,  2.378.484 ,  2.629.959 ,  2.741.178 ,  2.779.695 ,  2.662.653 ,  2.702.525 ,  2.692.241 ,  2.799.596 ,  2.782.942 ,  2.708.244 ,  2.722.377 ,  2.658.070 ,  32.257.964 
,,,,,,,,,,,,,
,2016,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  12.628.144 ,  13.502.288 ,  13.935.259 ,  13.983.039 ,  13.944.339 ,  13.888.706 ,  14.088.209 ,  14.240.298 ,  14.064.347 ,  13.943.928 ,  13.923.585 ,  13.533.898 ,  165.676.040 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.215.996 ,  1.198.859 ,  1.304.121 ,  1.196.602 ,  1.277.905 ,  1.208.497 ,  1.287.561 ,  1.264.582 ,  1.266.014 ,  1.285.887 ,  1.278.865 ,  1.255.955 ,  15.040.844 
Nordeste,  1.815.657 ,  1.796.274 ,  1.944.248 ,  1.809.149 ,  1.966.225 ,  1.915.553 ,  2.000.370 ,  1.963.917 ,  1.893.440 ,  1.902.493 ,  1.891.654 ,  1.851.627 ,  22.750.606 
Sudeste,  6.678.700 ,  7.198.404 ,  7.306.778 ,  7.507.463 ,  7.338.229 ,  7.395.683 ,  7.423.662 ,  7.569.355 ,  7.540.403 ,  7.456.992 ,  7.434.144 ,  7.170.266 ,  88.020.079 
Sul,  2.213.223 ,  2.568.403 ,  2.626.702 ,  2.704.555 ,  2.610.478 ,  2.622.060 ,  2.613.430 ,  2.645.534 ,  2.620.123 ,  2.536.800 ,  2.598.048 ,  2.550.281 ,  30.909.636 
Centro-Oeste,  704.568 ,  740.349 ,  753.412 ,  765.270 ,  751.503 ,  746.913 ,  763.186 ,  796.910 ,  744.368 ,  761.756 ,  720.874 ,  705.768 ,  8.954.875 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  11.952 ,  12.218 ,  13.572 ,  11.509 ,  11.842 ,  11.859 ,  12.411 ,  13.272 ,  14.789 ,  13.027 ,  11.628 ,  10.471 ,  148.550 
Norte,  1.249.834 ,  1.228.046 ,  1.356.571 ,  1.251.768 ,  1.314.697 ,  1.240.713 ,  1.328.156 ,  1.322.746 ,  1.323.601 ,  1.330.349 ,  1.336.616 ,  1.301.294 ,  15.584.391 
Nordeste,  1.736.723 ,  1.718.779 ,  1.842.710 ,  1.707.257 ,  1.880.563 ,  1.835.428 ,  1.911.719 ,  1.857.092 ,  1.788.517 ,  1.810.593 ,  1.785.415 ,  1.760.767 ,  21.635.562 
Sudeste/C.Oeste,  7.416.412 ,  7.974.843 ,  8.095.705 ,  8.307.950 ,  8.126.760 ,  8.178.646 ,  8.222.493 ,  8.401.654 ,  8.317.318 ,  8.253.159 ,  8.191.878 ,  7.911.084 ,  97.397.901 
Sul,  2.213.223 ,  2.568.403 ,  2.626.702 ,  2.704.555 ,  2.610.478 ,  2.622.060 ,  2.613.430 ,  2.645.534 ,  2.620.123 ,  2.536.800 ,  2.598.048 ,  2.550.281 ,  30.909.636 
,,,,,,,,,,,,,
,2015,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
